,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
81,nybro,SE,2687902,56.74,15.91,19.25,20.0,64,0,2.6
82,chokurdakh,RU,2126123,70.63,147.92,4.13,4.13,93,100,3.3
83,ribeira grande,ES,3111807,42.75,-8.44,26.63,28.33,29,86,6.2
84,puerto escondido,ES,2518207,36.59,-6.23,31.98,33.0,35,0,7.2
85,ilulissat,GL,3423146,69.22,-51.1,9.0,9.0,76,75,2.1
86,bonavista,CA,5905393,48.65,-53.11,8.89,8.89,80,100,3.13
87,tiksi,RU,2015306,71.69,128.87,2.14,2.14,89,14,8.54
88,sorong,ID,1626542,-0.88,131.25,25.66,25.66,82,0,1.64
89,belyy yar,RU,577576,55.84,32.94,12.51,12.51,92,98,1.44
90,yabassi,CM,2221046,4.46,9.97,26.0,26.0,100,75,1.0
91,stockholm,SE,2673730,59.33,18.06,21.28,22.0,49,0,2.1
92,cidreira,BR,3466165,-30.18,-50.21,12.1,12.1,88,100,5.11
93,vila franca do campo,PT,7117100,42.03,-8.16,30.0,30.0,41,82,3.13
94,nanortalik,GL,3421765,60.14,-45.24,10.66,10.66,54,20,4.8
95,coquimbo,CL,3893629,-29.95,-71.34,13.0,13.0,76,20,6.2
96,thompson,CA,6165406,55.74,-97.86,17.0,17.0,77,75,9.3
97,cockburn town,AU,2171135,-32.08,141.0,5.0,5.0,60,0,2.6
98,shenzhen,CN,1795565,22.55,114.07,27.78,28.89,99,100,0.45
99,bredasdorp,ZA,1015776,-34.53,20.04,9.0,9.0,93,0,1.5
100,bluff,NZ,2206939,-46.6,168.33,3.44,3.44,88,50,4.88
101,lanzhou,CN,1804430,36.06,103.79,19.44,19.44,72,2,0.99
102,marsabit,KE,187585,2.33,37.99,19.58,19.58,60,99,9.64
103,flin flon,FR,2997110,48.5,6.66,16.38,17.0,82,90,4.1
104,nagato,JP,1899102,34.38,131.2,20.81,22.0,94,75,4.1
105,osinki,RU,514572,52.84,49.51,16.67,16.67,90,26,1.59
106,ballina,AU,2177069,-28.87,153.57,8.57,10.56,71,40,3.6
107,thinadhoo,MV,1337610,0.53,72.93,29.52,29.52,64,91,1.07
108,salalah,OM,286621,17.02,54.09,28.0,28.0,94,75,3.1
109,clinton,US,4989133,42.59,-82.92,23.1,24.44,100,90,2.6
110,wajid,SO,50814,3.81,43.25,24.6,24.6,60,100,8.37
111,souillac,MU,933995,-20.52,57.52,22.0,22.0,73,40,3.1
112,yar-sale,RU,1486321,66.83,70.83,8.73,8.73,80,2,2.4
113,ponta do sol,PT,3372784,38.73,-28.27,22.0,22.0,68,75,2.1
114,tamiahua,MX,3516376,21.27,-97.45,31.78,31.78,62,0,4.88
115,aklavik,CA,5882953,68.22,-135.01,15.0,15.0,77,40,3.1
