,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
389,galveston,US,4692856,29.37,-94.97,30.43,31.67,74,1,4.6
390,bontang,ID,1648186,0.13,117.5,26.68,26.68,78,100,2.12
391,ban nahin,LA,7648328,20.02,104.61,25.17,25.17,75,93,0.91
392,alugan,PH,1731248,12.22,125.48,27.15,27.15,80,83,3.85
393,barabai,ID,1650064,-2.58,115.38,23.25,23.25,94,96,0.96
394,kavarna,BG,730518,43.43,28.33,24.0,24.0,53,20,6.2
395,belaya kholunitsa,UA,712667,49.03,25.77,21.82,21.82,52,0,0.71
396,mana,GF,3381041,5.66,-53.78,29.87,29.87,62,0,3.2
397,scarborough,GB,2638419,54.28,-0.4,16.57,17.22,78,100,0.45
398,shimoda,JP,1852357,34.67,138.95,17.78,17.78,96,100,3.54
399,paris,FR,2988507,48.85,2.35,21.86,22.78,52,90,5.7
400,nalut,LY,2214432,30.33,10.85,37.7,37.7,14,46,3.6
401,svarstad,NO,7626348,59.4,9.97,19.34,20.56,22,2,0.89
402,formoso do araguaia,BR,3463120,-14.95,-46.23,27.43,27.43,25,0,5.63
403,boguchany,RU,1509844,58.38,97.45,11.32,11.32,67,10,2.7
404,eyl,SO,60019,7.98,49.82,31.67,31.67,45,99,11.48
405,hobyo,SO,57000,5.35,48.53,27.42,27.42,70,100,14.03
406,axim,GH,2303611,4.87,-2.24,25.83,25.83,69,53,5.23
407,buraydah,SA,107304,26.33,43.98,44.0,44.0,14,0,3.1
408,payo,ID,1638775,-3.75,103.64,23.19,23.19,96,99,1.05
409,yaqui,MX,3979975,27.37,-110.17,30.0,30.0,51,20,3.6
410,velizh,RU,475955,55.61,31.2,10.13,10.13,96,100,5.92
411,kobayashi,JP,1859175,31.98,130.98,20.0,20.0,93,100,1.17
412,canmore,CA,5914894,51.08,-115.35,12.53,14.0,62,75,2.1
413,ternate,ID,1624041,0.8,127.4,26.75,26.75,78,95,1.39
414,port keats,CD,212962,-7.03,29.76,26.92,26.92,44,80,2.4
415,bowen,AU,2174444,-20.02,148.23,9.0,9.0,93,0,3.6
416,kaohsiung,TW,1673820,22.62,120.31,28.25,29.0,79,40,1.0
417,muncar,ID,1634718,-8.43,114.33,24.37,24.37,82,93,2.9
418,cuenca,EC,3658666,-2.88,-78.98,13.68,13.68,71,93,1.87
419,sitka,US,5557293,57.05,-135.33,12.0,12.0,87,90,2.18
420,pandharpur,IN,1260546,17.67,75.33,23.43,23.43,84,100,6.19
421,oktyabrskoye,RU,515805,43.06,44.74,25.0,25.0,65,75,4.0
422,borzya,RU,2026126,50.38,116.52,19.19,19.19,80,17,2.7
423,sobolevo,RU,525426,54.43,31.9,9.94,9.94,94,100,8.29
424,tubuala,PA,3700393,9.52,-79.03,28.47,29.44,74,3,2.39
425,nabire,ID,1634614,-3.37,135.48,24.58,24.58,87,97,1.53
426,souillac,MU,933995,-20.52,57.52,23.0,23.0,69,40,5.1
427,ulaanbaatar,MN,2028462,47.91,106.88,17.0,17.0,55,20,1.0
428,buritis,BR,3468732,-15.62,-46.42,29.61,29.61,25,0,3.98
429,kondopoga,RU,545626,62.21,34.26,17.0,17.0,63,75,4.0
430,kwidzyn,PL,3094086,53.72,18.93,26.11,26.11,43,32,4.14
431,mlonggo,ID,1635164,-6.53,110.7,26.55,26.55,73,40,4.34
432,tiarei,PF,4033356,-17.53,-149.33,22.88,23.0,94,4,1.5
433,tayu,ID,1624545,-6.54,111.05,26.54,26.54,78,46,3.53
434,jiayuguan,CN,1280957,39.82,98.3,25.92,25.92,29,97,3.1
435,rio grande,GR,254315,38.3,21.78,25.42,29.0,51,20,3.1
436,severo-yeniseyskiy,RU,1492566,60.37,93.04,8.31,8.31,84,53,2.49
437,doka,SD,376332,13.52,35.77,29.02,29.02,61,100,5.73
438,waterloo,CA,6176823,43.47,-80.52,25.0,25.56,61,15,4.6
439,ekimchan,RU,2024461,53.07,132.97,17.07,17.07,89,100,0.65
440,faya,SA,110690,18.39,42.45,31.5,32.0,10,40,2.6
441,nefteyugansk,RU,1497917,61.1,72.6,30.0,30.0,58,0,5.0
442,nazas,MX,3995005,25.23,-104.13,28.09,28.09,25,97,0.5
443,galle,LK,1246294,6.04,80.22,26.85,26.85,84,100,4.22
444,hanna,CA,5970234,51.63,-111.9,13.33,13.33,82,100,1.34
445,williston,US,5692947,48.15,-103.62,18.3,19.44,55,1,3.6
446,candeias,BR,3467796,-20.77,-45.28,24.78,24.78,51,45,1.55
447,lesnoy,RU,6853140,57.62,63.08,27.27,27.27,67,10,3.54
448,killam,CA,5991888,52.78,-111.85,15.56,15.56,68,100,6.47
449,vao,NC,2137773,-22.67,167.48,20.83,20.83,81,64,6.86
