,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
399,qaanaaq,GL,3831208,77.48,-69.36,4.75,4.75,85,100,4.59
400,sarankhola,BD,1185239,22.31,89.79,27.44,27.44,87,86,2.32
401,badulla,LK,1250615,6.99,81.06,22.97,22.97,80,99,2.41
402,emerald,AU,2167426,-23.53,148.17,9.32,11.0,53,0,3.6
403,maniitsoq,GL,3421982,65.42,-52.9,7.73,7.73,78,31,2.83
404,flin flon,FR,2997110,48.5,6.66,20.39,22.0,56,100,1.5
405,chunoyar,RU,1507638,57.45,97.32,11.7,11.7,68,33,2.58
406,muscatine,US,4868410,41.47,-91.13,22.31,23.0,100,40,5.1
407,magan,ES,6361748,39.97,-3.93,30.8,32.0,21,0,2.1
408,fez,MA,2548885,34.04,-5.0,40.0,40.0,16,40,5.7
409,north platte,FR,2990129,50.33,3.67,17.81,20.0,73,91,2.29
410,yerbogachen,RU,2012956,61.28,108.01,14.52,14.52,92,100,2.49
411,ukiah,US,5404476,39.15,-123.21,14.86,16.67,82,1,2.1
412,slupca,PL,3085481,52.29,17.87,26.11,26.11,39,77,0.45
413,verkhnevilyuysk,RU,2013639,63.45,120.32,22.2,22.2,50,100,2.23
414,kailua,US,5847486,21.4,-157.74,22.79,24.0,73,40,5.7
415,high level,US,4705086,33.61,-95.75,29.25,29.44,77,38,6.79
416,caxito,AO,2242001,-8.58,13.66,25.0,25.0,78,40,5.1
417,keffi,NG,2334652,8.85,7.87,28.0,28.0,74,75,3.6
418,taoudenni,ML,2450173,22.68,-3.98,45.89,45.89,9,28,5.92
419,anaconda,US,5637146,46.13,-112.94,8.0,8.0,65,1,1.14
420,port antonio,CD,212962,-7.03,29.76,26.92,26.92,44,80,2.4
421,siilinjarvi,FI,636947,63.08,27.67,20.0,20.0,45,38,1.0
422,xinmin,CN,2033675,41.99,122.83,24.0,24.0,88,0,2.0
423,zyryanka,RU,2119283,65.75,150.85,7.19,7.19,60,63,3.97
424,kamenka,RU,553766,51.32,42.77,22.78,22.78,49,36,1.34
425,lasa,IT,3175096,46.62,10.7,15.51,17.78,82,75,2.6
426,aviles,ES,3129135,43.55,-5.92,20.32,21.11,72,40,3.6
